date,price
2023-05-03,29541428.57142857
2023-05-04,29225454.545454547
2023-05-05,21539166.666666668
2023-05-06,24964166.666666668
2023-05-07,25083571.42857143
2023-05-08,22662952.38095238
2023-05-09,37858752.0
2023-05-10,59826600.0
2023-05-11,15209285.714285715
2023-05-12,24583333.333333332
2023-05-13,30008181.818181816
2023-05-14,21005833.333333332
2023-05-15,17503888.888888888
2023-05-16,27488421.05263158
2023-05-17,23874429.333333332
2023-05-18,56708888.88888889
2023-05-19,44766500.0
2023-05-20,32355294.11764706
2023-05-21,25048000.0
2023-05-22,30709690.0
2023-05-23,23040592.533333335
2023-05-24,28912345.833333332
2023-05-25,45842066.666666664
2023-05-26,25077430.5
2023-05-27,27167894.736842107
2023-05-28,25782857.14285714
2023-05-29,13822777.777777778
2023-05-30,25416500.0
2023-05-31,26025782.608695652
2023-06-01,22082727.272727273
2023-06-02,23447777.777777776
2023-06-03,23828000.0
2023-06-04,23838315.789473683
2023-06-05,146491818.1818182
2023-06-06,21808461.53846154
2023-06-07,31822222.222222224
2023-06-08,24385333.333333332
2023-06-09,20813529.411764707
2023-06-10,27016966.666666668
2023-06-11,24576875.0
2023-06-12,21038333.333333332
2023-06-13,18339285.714285713
2023-06-14,27750000.0
2023-06-15,24215454.545454547
2023-06-16,24937333.333333332
2023-06-17,24012941.17647059
2023-06-18,24197857.14285714
2023-06-19,25140000.0
2023-06-20,17683750.0
2023-06-21,30966666.666666668
2023-06-22,24624000.0
2023-06-23,26498750.0
2023-06-24,20844444.444444444
2023-06-25,31419166.666666668
2023-06-26,48888461.538461536
2023-06-27,27482307.692307692
2023-06-28,17903000.0
2023-06-29,28244520.1
2023-06-30,35284444.44444445
2023-07-01,17327500.0
2023-07-02,25766315.789473683
2023-07-03,21407272.727272727
2023-07-04,16951775.2
2023-07-05,108965000.0
2023-07-06,19547000.0
2023-07-07,24407272.727272727
2023-07-08,20702105.263157893
2023-07-09,20652631.57894737
2023-07-10,38746306.81818182
2023-07-11,41363774.8
2023-07-12,26059374.25
2023-07-13,29057692.307692308
2023-07-14,25905454.545454547
2023-07-15,24807500.0
2023-07-16,21451666.666666668
2023-07-17,28525789.47368421
2023-07-18,23365384.615384616
2023-07-19,18308333.333333332
2023-07-20,28845714.285714287
2023-07-21,16220000.0
2023-07-22,30146666.666666668
2023-07-23,20165000.0
2023-07-24,24892823.529411763
2023-07-25,25525158.10526316
2023-07-26,19670625.0
2023-07-27,48469000.0
2023-07-28,20418000.0
2023-07-29,22586666.666666668
2023-07-30,20508095.23809524
2023-07-31,24981818.181818184
2023-08-01,17808148.14814815
2023-08-02,25490000.0
2023-08-03,15814285.714285715
2023-08-04,20334276.076923076
2023-08-05,24539047.61904762
2023-08-06,26788333.333333332
2023-08-07,26749500.0
2023-08-08,48269285.71428572
2023-08-09,18056666.666666668
2023-08-10,14335000.0
2023-08-11,24228428.57142857
2023-08-12,25130000.0
2023-08-13,22579888.888888888
2023-08-14,21916086.95652174
2023-08-15,21808442.85714286
2023-08-16,22490000.0
